,Issuer Name,Security Id,Security Name,Industry,Sector Name,Industry,Igroup Name,Sector,,Index
,Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Cement & Cement Products,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,,
,Kalyani Steels Ltd,KSL,KALYANI STEELS LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Kanel Industries Limited,KANELIND,Kanel Industries Limited,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,Whirlpool of India Ltd,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Household Appliances,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,,
,K.G.Denim Ltd,KGDENIM,KG DENIM LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,"Kinetic Engineering Ltd.,",KINETICENG,KINETIC ENGINEERING LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,"Kirloskar Brothers Ltd.,",KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,Compressors- Pumps & Diesel Engines,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",,
,Kirloskar Industries Ltd,KIRLOSIND,Kirloskar Industries Ltd,Castings & Forgings,Industrials,Capital Goods,Industrial Products,Castings & Forgings,,
,Kirloskar Ferrous Industries Ltd.,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Pig Iron,Commodities,Metals & Mining,Ferrous Metals,Pig Iron,,
,Envair Electrodyne Ltd.,ENVAIREL,ENVAIR ELECTRODYNE LTD.,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,,
,Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Private Sector Bank,Financial Services,Financial Services,Banks,Private Sector Bank,,
,KRISHNA FILAMENT INDUSTRIES LIMITED,KRIFILIND,Krishna Filament Industries Ltd,Plastic Products - Industrial,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,
,KSB LIMITED,KSB,KSB Ltd,Compressors- Pumps & Diesel Engines,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",,
,L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
